voteid,question,source,rank,rating,time,user_id,code
113,1,0,5,3,2017-04-05 20:28:07.389324,1,"public static void main (String[] args)
{
    Scanner input = new Scanner(System.in);
    int[] numbers = new int[5];

    for (int i = 0; i < numbers.length; i++)
    {
        System.out.println(""Please enter number"");
        numbers[i] = input.nextInt();
    }
  	int max = numbers[0];
    int min = numbers[0];
  	for(int i = 1; i < numbers.length; i++)
    {
      if(numbers[i] < min)
      {
        min = numbers[i];
      }
      if(numbers[i] > max)
      {
        max = numbers[i];
      }
    }
  	
}"
114,1,1,5,5,2017-04-05 20:28:15.309704,1,"public static void main (String[] args)
{
    Scanner input = new Scanner(System.in);
    int[] numbers = new int[5];

    for (int i = 0; i < numbers.length; i++)
    {
        System.out.println(""Please enter number"");
        numbers[i] = input.nextInt();
    }
  	int max = numbers[0];
    int min = numbers[0];
  	for(int i = 1; i < numbers.length; i++)
    {
      if(numbers[i] < min)
      {
        min = numbers[i];
      }
      if(numbers[i] > max)
      {
        max = numbers[i];
      }
    }
  	
}"
115,1,1,5,2,2017-04-05 20:28:23.217344,12,"public int largestDif(int[] values){
	int largest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] > largest) {
            largest = values[i];
        }
    }
  	int smallest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] < largest) {
            smallest = values[i];
        }
    }
  	return (largest-smallest);
}"
116,1,1,2,1,2017-04-05 20:28:26.971343,12,"public int largestDif(int[] values){
	int largest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] > largest) {
            largest = values[i];
        }
    }
  	int smallest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] < largest) {
            smallest = values[i];
        }
    }
  	return (largest-smallest);
}"
117,1,0,3,3,2017-04-05 20:28:31.976454,12,"public int largestDif(int[] values){
	int largest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] > largest) {
            largest = values[i];
        }
    }
  	int smallest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] < largest) {
            smallest = values[i];
        }
    }
  	return (largest-smallest);
}"
118,1,1,1,3,2017-04-05 20:28:38.621829,1,"public static void main (String[] args)
{
    Scanner input = new Scanner(System.in);
    int[] numbers = new int[5];

    for (int i = 0; i < numbers.length; i++)
    {
        System.out.println(""Please enter number"");
        numbers[i] = input.nextInt();
    }
  	int max = numbers[0];
    int min = numbers[0];
  	for(int i = 1; i < numbers.length; i++)
    {
      if(numbers[i] < min)
      {
        min = numbers[i];
      }
      if(numbers[i] > max)
      {
        max = numbers[i];
      }
    }
  	
}"
119,2,0,5,1,2017-04-05 20:28:43.400491,19,"double tax(Person p)
{
  
}"
120,1,0,1,2,2017-04-05 20:28:44.955809,12,"public int largestDif(int[] values){
	int largest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] > largest) {
            largest = values[i];
        }
    }
  	int smallest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] < largest) {
            smallest = values[i];
        }
    }
  	return (largest-smallest);
}"
121,1,0,3,1,2017-04-05 20:28:46.285641,1,"public static void main (String[] args)
{
    Scanner input = new Scanner(System.in);
    int[] numbers = new int[5];

    for (int i = 0; i < numbers.length; i++)
    {
        System.out.println(""Please enter number"");
        numbers[i] = input.nextInt();
    }
  	int max = numbers[0];
    int min = numbers[0];
  	for(int i = 1; i < numbers.length; i++)
    {
      if(numbers[i] < min)
      {
        min = numbers[i];
      }
      if(numbers[i] > max)
      {
        max = numbers[i];
      }
    }
  	
}"
122,1,1,4,4,2017-04-05 20:28:47.449668,12,"public int largestDif(int[] values){
	int largest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] > largest) {
            largest = values[i];
        }
    }
  	int smallest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] < largest) {
            smallest = values[i];
        }
    }
  	return (largest-smallest);
}"
123,2,1,3,1,2017-04-05 20:28:48.297675,19,"double tax(Person p)
{
  
}"
124,1,1,4,1,2017-04-05 20:28:53.133228,1,"public static void main (String[] args)
{
    Scanner input = new Scanner(System.in);
    int[] numbers = new int[5];

    for (int i = 0; i < numbers.length; i++)
    {
        System.out.println(""Please enter number"");
        numbers[i] = input.nextInt();
    }
  	int max = numbers[0];
    int min = numbers[0];
  	for(int i = 1; i < numbers.length; i++)
    {
      if(numbers[i] < min)
      {
        min = numbers[i];
      }
      if(numbers[i] > max)
      {
        max = numbers[i];
      }
    }
  	
}"
125,2,0,3,1,2017-04-05 20:28:54.993067,19,"double tax(Person p)
{
  
}"
126,1,0,1,4,2017-04-05 20:28:56.828598,1,"public static void main (String[] args)
{
    Scanner input = new Scanner(System.in);
    int[] numbers = new int[5];

    for (int i = 0; i < numbers.length; i++)
    {
        System.out.println(""Please enter number"");
        numbers[i] = input.nextInt();
    }
  	int max = numbers[0];
    int min = numbers[0];
  	for(int i = 1; i < numbers.length; i++)
    {
      if(numbers[i] < min)
      {
        min = numbers[i];
      }
      if(numbers[i] > max)
      {
        max = numbers[i];
      }
    }
  	
}"
127,1,0,4,2,2017-04-05 20:28:58.007719,12,"public int largestDif(int[] values){
	int largest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] > largest) {
            largest = values[i];
        }
    }
  	int smallest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] < largest) {
            smallest = values[i];
        }
    }
  	return (largest-smallest);
}"
128,1,0,4,4,2017-04-05 20:29:07.396929,1,"public static void main (String[] args)
{
    Scanner input = new Scanner(System.in);
    int[] numbers = new int[5];

    for (int i = 0; i < numbers.length; i++)
    {
        System.out.println(""Please enter number"");
        numbers[i] = input.nextInt();
    }
  	int max = numbers[0];
    int min = numbers[0];
  	for(int i = 1; i < numbers.length; i++)
    {
      if(numbers[i] < min)
      {
        min = numbers[i];
      }
      if(numbers[i] > max)
      {
        max = numbers[i];
      }
    }
  	
}"
129,2,1,2,1,2017-04-05 20:29:10.823851,19,"double tax(Person p)
{
  
}"
130,1,0,2,2,2017-04-05 20:29:11.356990,1,"public static void main (String[] args)
{
    Scanner input = new Scanner(System.in);
    int[] numbers = new int[5];

    for (int i = 0; i < numbers.length; i++)
    {
        System.out.println(""Please enter number"");
        numbers[i] = input.nextInt();
    }
  	int max = numbers[0];
    int min = numbers[0];
  	for(int i = 1; i < numbers.length; i++)
    {
      if(numbers[i] < min)
      {
        min = numbers[i];
      }
      if(numbers[i] > max)
      {
        max = numbers[i];
      }
    }
  	
}"
131,2,1,1,1,2017-04-05 20:29:21.344246,19,"double tax(Person p)
{
  
}"
132,2,0,4,1,2017-04-05 20:29:24.015433,19,"double tax(Person p)
{
  
}"
133,2,0,3,1,2017-04-05 20:29:35.279912,18,"public int getTax (String type)
{
  int x;
  System.out.println(""Enter 1 for employees, 2 for business owners, 3 for veterans or 0 for none of these"");
  x=scan.nextInt();
  switch (x)
  {
    case 1:
      {
        if(salary<10000)
        {
          return 0.02;
        }
        else
        {
          return 0.05;
        }
        break;
      }
    case 2:
      {
        return 0.1;
        break;
      }
    case 3:
      {
        return 0;
        break;
      }
    case 0:
      {
        return 0.5;
        break;
      }
  }
  // returns different percentage of tax based on type of person
  
}"
134,2,1,5,3,2017-04-05 20:29:36.708583,4,"double tax(Person p){
  //For employees salary
  // extends person
  // 2% of salary
  
  double s =p.getSalary();
  double s = 
  if (s < 10000)
  {
    s=0.2*s;
  }
  
}"
135,1,1,5,3,2017-04-05 20:29:38.234581,12,"public int largestDif(int[] values){
	int largest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] > largest) {
            largest = values[i];
        }
    }
  	int smallest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] < largest) {
            smallest = values[i];
        }
    }
  	return (largest-smallest);
}"
136,1,1,1,2,2017-04-05 20:29:46.915233,3,"int arrayDifference(int array[]){
  
  /*takes an array and return difference between its largest element 
    and its smallest element */
}
  "
137,1,1,2,1,2017-04-05 20:29:47.142955,12,"public int largestDif(int[] values){
	int largest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] > largest) {
            largest = values[i];
        }
    }
  	int smallest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] < largest) {
            smallest = values[i];
        }
    }
  	return (largest-smallest);
}"
138,2,1,3,5,2017-04-05 20:29:50.997795,14,"tax()
{
  if(Person == 1)
  {
    
  }
}"
139,1,1,3,1,2017-04-05 20:29:54.443424,3,"int arrayDifference(int array[]){
  
  /*takes an array and return difference between its largest element 
    and its smallest element */
}
  "
140,2,0,3,1,2017-04-05 20:29:57.575035,19,"double tax(Person p)
{
  //compare classes
}"
141,1,1,5,1,2017-04-05 20:29:59.107384,3,"int arrayDifference(int array[]){
  
  /*takes an array and return difference between its largest element 
    and its smallest element */
}
  "
142,2,1,1,1,2017-04-05 20:30:08.446295,19,"double tax(Person p)
{
  //compare classes
}"
143,2,1,3,1,2017-04-05 20:30:08.982000,19,"double tax(Person p)
{
  //compare classes
}"
144,2,1,5,4,2017-04-05 20:30:10.966171,14,"tax()
{
  if(Person == 1)
  {
    
  }
}"
145,2,1,4,1,2017-04-05 20:30:11.974095,19,"double tax(Person p)
{
  //compare classes
}"
146,2,0,4,1,2017-04-05 20:30:13.118233,19,"double tax(Person p)
{
  //compare classes
}"
147,2,0,5,3,2017-04-05 20:30:13.136494,14,"tax()
{
  if(Person == 1)
  {
    
  }
}"
148,2,0,1,1,2017-04-05 20:30:15.614064,19,"double tax(Person p)
{
  //compare classes
}"
149,2,0,5,1,2017-04-05 20:30:17.381973,19,"double tax(Person p)
{
  //compare classes
}"
150,2,0,2,5,2017-04-05 20:30:21.117926,14,"tax()
{
  if(Person == 1)
  {
    
  }
}"
151,2,1,2,5,2017-04-05 20:30:22.080918,14,"tax()
{
  if(Person == 1)
  {
    
  }
}"
152,1,0,3,1,2017-04-05 20:30:24.779294,3,"int arrayDifference(int array[]){
  
  /*takes an array and return difference between its largest element 
    and its smallest element */
}
  "
153,2,0,1,2,2017-04-05 20:30:26.725143,14,"tax()
{
  if(Person == 1)
  {
    
  }
}"
154,1,0,1,1,2017-04-05 20:30:28.275060,3,"int arrayDifference(int array[]){
  
  /*takes an array and return difference between its largest element 
    and its smallest element */
}
  "
155,2,1,1,1,2017-04-05 20:30:28.944600,18,"public int getTax (String type)
{
  int x;
  System.out.println(""Enter 1 for employees, 2 for business owners, 3 for veterans or 0 for none of these"");
  x=scan.nextInt();
  switch (x)
  {
    case 1:
      {
        if(salary<10000)
        {
          return 0.02;
        }
        else
        {
          return 0.05;
        }
        break;
      }
    case 2:
      {
        return 0.1;
        break;
      }
    case 3:
      {
        return 0;
        break;
      }
    case 0:
      {
        return 0.5;
        break;
      }
  }
  // returns different percentage of tax based on type of person
  
}"
156,2,1,1,5,2017-04-05 20:30:33.734072,14,"tax()
{
  if(Person == 1)
  {
    
  }
}"
157,1,0,4,3,2017-04-05 20:30:33.763015,3,"int arrayDifference(int array[]){
  
  /*takes an array and return difference between its largest element 
    and its smallest element */
}
  "
158,2,1,4,4,2017-04-05 20:30:35.477796,14,"tax()
{
  if(Person == 1)
  {
    
  }
}"
159,1,0,2,2,2017-04-05 20:30:38.347396,3,"int arrayDifference(int array[]){
  
  /*takes an array and return difference between its largest element 
    and its smallest element */
}
  "
160,2,0,4,5,2017-04-05 20:30:38.361312,14,"tax()
{
  if(Person == 1)
  {
    
  }
}"
161,2,0,4,5,2017-04-05 20:30:42.243448,11," class Person{
        String name;
        int age;
    }
    class Employee extends Person{
        double getSalary();
    }
    class BusinessOwner extends Person {
        double getProfit();
    }
    class Veteran extends Person{
        String veteran_id;
    }
"
162,2,1,1,2,2017-04-05 20:30:57.950471,18,"public int getTax (String type)
{
  int x;
  System.out.println(""Enter 1 for employees, 2 for business owners, 3 for veterans or 0 for none of these"");
  x=scan.nextInt();
  switch (x)
  {
    case 1:
      {
        if(salary<10000)
        {
          return 0.02;
        }
        else
        {
          return 0.05;
        }
        break;
      }
    case 2:
      {
        return 0.1;
        break;
      }
    case 3:
      {
        return 0;
        break;
      }
    case 0:
      {
        return 0.5;
        break;
      }
  }
  // returns different percentage of tax based on type of person
  
}"
163,1,1,4,2,2017-04-05 20:31:06.282714,3,"int arrayDifference(int array[]){
  
  /*takes an array and return difference between its largest element 
    and its smallest element */
}
  "
164,2,1,5,2,2017-04-05 20:31:08.098552,18,"public int getTax (String type)
{
  int x;
  System.out.println(""Enter 1 for employees, 2 for business owners, 3 for veterans or 0 for none of these"");
  x=scan.nextInt();
  switch (x)
  {
    case 1:
      {
        if(salary<10000)
        {
          return 0.02;
        }
        else
        {
          return 0.05;
        }
        break;
      }
    case 2:
      {
        return 0.1;
        break;
      }
    case 3:
      {
        return 0;
        break;
      }
    case 0:
      {
        return 0.5;
        break;
      }
  }
  // returns different percentage of tax based on type of person
  
}"
165,2,1,4,1,2017-04-05 20:31:54.946303,17,"public int returnTax(Person p)
{
  
}
"
166,2,0,5,1,2017-04-05 20:31:58.703037,17,"public int returnTax(Person p)
{
  
}
"
167,2,0,1,1,2017-04-05 20:32:00.466277,17,"public int returnTax(Person p)
{
  
}
"
168,2,1,1,3,2017-04-05 20:32:01.901340,17,"public int returnTax(Person p)
{
  
}
"
169,2,0,2,1,2017-04-05 20:32:06.545028,17,"public int returnTax(Person p)
{
  
}
"
170,2,0,2,3,2017-04-05 20:32:17.495759,18,"public int getTax (String type)
{
  int x;
  System.out.println(""Enter 1 for employees, 2 for business owners, 3 for veterans or 0 for none of these"");
  x=scan.nextInt();
  switch (x)
  {
    case 1:
      {
        if(salary<10000)
        {
          return 0.02;
        }
        else
        {
          return 0.05;
        }
        break;
      }
    case 2:
      {
        return 0.1;
        break;
      }
    case 3:
      {
        return 0;
        break;
      }
    case 0:
      {
        return 0.5;
        break;
      }
  }
  // returns different percentage of tax based on type of person
  
}"
171,2,1,2,1,2017-04-05 20:32:24.657927,18,"public int getTax (String type)
{
  int x;
  System.out.println(""Enter 1 for employees, 2 for business owners, 3 for veterans or 0 for none of these"");
  x=scan.nextInt();
  switch (x)
  {
    case 1:
      {
        if(salary<10000)
        {
          return 0.02;
        }
        else
        {
          return 0.05;
        }
        break;
      }
    case 2:
      {
        return 0.1;
        break;
      }
    case 3:
      {
        return 0;
        break;
      }
    case 0:
      {
        return 0.5;
        break;
      }
  }
  // returns different percentage of tax based on type of person
  
}"
172,2,0,1,1,2017-04-05 20:32:28.430915,18,"public int getTax (String type)
{
  int x;
  System.out.println(""Enter 1 for employees, 2 for business owners, 3 for veterans or 0 for none of these"");
  x=scan.nextInt();
  switch (x)
  {
    case 1:
      {
        if(salary<10000)
        {
          return 0.02;
        }
        else
        {
          return 0.05;
        }
        break;
      }
    case 2:
      {
        return 0.1;
        break;
      }
    case 3:
      {
        return 0;
        break;
      }
    case 0:
      {
        return 0.5;
        break;
      }
  }
  // returns different percentage of tax based on type of person
  
}"
173,1,0,1,3,2017-04-05 20:33:33.439092,13,"int largDiff(int s){
int[] array;

array = new int[3];
array[0] = 1;
array[1] = 4;
array[2] = 7;

int a = array[0];
int b = array[1];
int c = array[2];

int d = b-a;
int e = c-a;
int f = c-b;
  
 if (d > f){
   return d;
 } else if( e > f){
   return e;
 }else return f;
}"
174,2,1,4,4,2017-04-05 20:33:55.079554,11,"class Person{
        String name;
        int age;
    }
    class Employee extends Person{
        double getSalary();
    }
    class BusinessOwner extends Person {
        double getProfit();
    }
    class Veteran extends Person{
        String veteran_id;
    }
"
175,2,0,5,3,2017-04-05 20:34:00.662384,11,"class Person{
        String name;
        int age;
    }
    class Employee extends Person{
        double getSalary();
    }
    class BusinessOwner extends Person {
        double getProfit();
    }
    class Veteran extends Person{
        String veteran_id;
    }
"
176,2,1,5,1,2017-04-05 20:34:06.141765,11,"class Person{
        String name;
        int age;
    }
    class Employee extends Person{
        double getSalary();
    }
    class BusinessOwner extends Person {
        double getProfit();
    }
    class Veteran extends Person{
        String veteran_id;
    }
"
177,2,1,2,1,2017-04-05 20:34:13.047061,17,"public int returnTax(Person p)
{
  Veteran test = new Veteran();
  if(p.getClass()==test.getClass())
    return 0;
  else if( )
}
"
178,2,0,2,4,2017-04-05 20:34:13.134005,11,"class Person{
        String name;
        int age;
    }
    class Employee extends Person{
        double getSalary();
    }
    class BusinessOwner extends Person {
        double getProfit();
    }
    class Veteran extends Person{
        String veteran_id;
    }
"
179,2,0,3,1,2017-04-05 20:34:15.435060,17,"public int returnTax(Person p)
{
  Veteran test = new Veteran();
  if(p.getClass()==test.getClass())
    return 0;
  else if( )
}
"
180,2,0,4,1,2017-04-05 20:34:19.786418,17,"public int returnTax(Person p)
{
  Veteran test = new Veteran();
  if(p.getClass()==test.getClass())
    return 0;
  else if( )
}
"
181,2,0,2,3,2017-04-05 20:34:23.795315,1,"public static void main(String[] args)
{
    System.out.println(""Please pass in the person you wish to tax: "");
  	Scanner scan = new Scanner();
  	Object person1 = scan.nextObject;
  	
   	System.out.println(""Expected: 0.0 2000.0 10000.0"");
  
}
"
182,2,0,3,2,2017-04-05 20:34:28.022378,1,"public static void main(String[] args)
{
    System.out.println(""Please pass in the person you wish to tax: "");
  	Scanner scan = new Scanner();
  	Object person1 = scan.nextObject;
  	
   	System.out.println(""Expected: 0.0 2000.0 10000.0"");
  
}
"
183,2,0,1,1,2017-04-05 20:34:31.335005,1,"public static void main(String[] args)
{
    System.out.println(""Please pass in the person you wish to tax: "");
  	Scanner scan = new Scanner();
  	Object person1 = scan.nextObject;
  	
   	System.out.println(""Expected: 0.0 2000.0 10000.0"");
  
}
"
184,1,0,3,4,2017-04-05 20:34:35.006266,13,"int largDiff(int s){
int[] array;
// largest difference
array = new int[3];
array[0] = 1;
array[1] = 4;
array[2] = 7;

int a = array[0];
int b = array[1];
int c = array[2];

int d = b-a;
int e = c-a;
int f = c-b;
  
 if (d > f){
   return d;
 } else if( e > f){
   return e;
 }else return f;
}"
185,2,1,4,4,2017-04-05 20:34:37.686724,1,"public static void main(String[] args)
{
    System.out.println(""Please pass in the person you wish to tax: "");
  	Scanner scan = new Scanner();
  	Object person1 = scan.nextObject;
  	
   	System.out.println(""Expected: 0.0 2000.0 10000.0"");
  
}
"
186,2,0,1,5,2017-04-05 20:34:38.789254,11,"class Person{
        String name;
        int age;
    }
    class Employee extends Person{
        double getSalary();
    }
    class BusinessOwner extends Person {
        double getProfit();
    }
    class Veteran extends Person{
        String veteran_id;
    }
"
187,2,1,1,5,2017-04-05 20:34:45.555751,17,"public int returnTax(Person p)
{
  Veteran test = new Veteran();
  Bui
  if(p.getClass()==test.getClass())
    return 0;
  else if( )
}
"
188,2,1,3,3,2017-04-05 20:34:46.669855,1,"public static void main(String[] args)
{
    System.out.println(""Please pass in the person you wish to tax: "");
  	Scanner scan = new Scanner();
  	Object person1 = scan.nextObject;
  	
   	System.out.println(""Expected: 0.0 2000.0 10000.0"");
  
}
"
189,1,1,2,4,2017-04-05 20:34:48.342020,13,"int largDiff(int s){
int[] array;
// largest difference
array = new int[3];
array[0] = 1;
array[1] = 4;
array[2] = 7;

int a = array[0];
int b = array[1];
int c = array[2];

int d = b-a;
int e = c-a;
int f = c-b;
  
 if (d > f){
   return d;
 } else if( e > f){
   return e;
 }else return f;
}"
190,2,1,2,3,2017-04-05 20:34:54.742400,1,"public static void main(String[] args)
{
    System.out.println(""Please pass in the person you wish to tax: "");
  	Scanner scan = new Scanner();
  	Object person1 = scan.nextObject;
  	
   	System.out.println(""Expected: 0.0 2000.0 10000.0"");
  
}
"
191,2,1,1,1,2017-04-05 20:35:02.766041,1,"public static void main(String[] args)
{
    System.out.println(""Please pass in the person you wish to tax: "");
  	Scanner scan = new Scanner();
  	Object person1 = scan.nextObject;
  	
   	System.out.println(""Expected: 0.0 2000.0 10000.0"");
  
}
"
192,2,0,5,5,2017-04-05 20:35:09.293302,1,"public static void main(String[] args)
{
    System.out.println(""Please pass in the person you wish to tax: "");
  	Scanner scan = new Scanner();
  	Object person1 = scan.nextObject;
  	
   	System.out.println(""Expected: 0.0 2000.0 10000.0"");
  
}
"
193,1,0,5,3,2017-04-05 20:35:17.661272,13,"int largDiff(int s){
int[] array;
// largest difference
array = new int[3];
array[0] = 1;
array[1] = 4;
array[2] = 7;

int a = array[0];
int b = array[1];
int c = array[2];

int d = b-a;
int e = c-a;
int f = c-b;
  
 if (d > f){
   return d;
 } else if( e > f){
   return e;
 }else return f;
}"
194,2,1,5,1,2017-04-05 20:35:19.636429,11,"class Person{
        String name;
        int age;
    }
    class Employee extends Person{
        double getSalary();
    }
    class BusinessOwner extends Person {
        double getProfit();
    }
    class Veteran extends Person{
        String veteran_id;
    }

public static void main(String[] args) {
    double sum = 0;
    int count = 0;
    double salary = 0;
    System.out.print(""Enter salaries, -1 to finish: "");
    Scanner in = new Scanner(System.in);
    while (salary != -1) {
        salary = in.nextDouble();
        if (salary != -1) {
            sum = sum + salary;
            count++;
        }
    }
    if (count > 0) {
        double average = sum / count;
        System.out.println(""Average salary: "" + average);
       // Process data until the sentinel is entered 

    } else {
        System.out.println(""No data"");
    }
}
       // Compute and print the average"
195,2,1,3,1,2017-04-05 20:35:23.244316,11,"class Person{
        String name;
        int age;
    }
    class Employee extends Person{
        double getSalary();
    }
    class BusinessOwner extends Person {
        double getProfit();
    }
    class Veteran extends Person{
        String veteran_id;
    }

public static void main(String[] args) {
    double sum = 0;
    int count = 0;
    double salary = 0;
    System.out.print(""Enter salaries, -1 to finish: "");
    Scanner in = new Scanner(System.in);
    while (salary != -1) {
        salary = in.nextDouble();
        if (salary != -1) {
            sum = sum + salary;
            count++;
        }
    }
    if (count > 0) {
        double average = sum / count;
        System.out.println(""Average salary: "" + average);
       // Process data until the sentinel is entered 

    } else {
        System.out.println(""No data"");
    }
}
       // Compute and print the average"
196,2,1,1,1,2017-04-05 20:35:25.411726,11,"class Person{
        String name;
        int age;
    }
    class Employee extends Person{
        double getSalary();
    }
    class BusinessOwner extends Person {
        double getProfit();
    }
    class Veteran extends Person{
        String veteran_id;
    }

public static void main(String[] args) {
    double sum = 0;
    int count = 0;
    double salary = 0;
    System.out.print(""Enter salaries, -1 to finish: "");
    Scanner in = new Scanner(System.in);
    while (salary != -1) {
        salary = in.nextDouble();
        if (salary != -1) {
            sum = sum + salary;
            count++;
        }
    }
    if (count > 0) {
        double average = sum / count;
        System.out.println(""Average salary: "" + average);
       // Process data until the sentinel is entered 

    } else {
        System.out.println(""No data"");
    }
}
       // Compute and print the average"
197,2,0,2,4,2017-04-05 20:35:28.332360,11,"class Person{
        String name;
        int age;
    }
    class Employee extends Person{
        double getSalary();
    }
    class BusinessOwner extends Person {
        double getProfit();
    }
    class Veteran extends Person{
        String veteran_id;
    }

public static void main(String[] args) {
    double sum = 0;
    int count = 0;
    double salary = 0;
    System.out.print(""Enter salaries, -1 to finish: "");
    Scanner in = new Scanner(System.in);
    while (salary != -1) {
        salary = in.nextDouble();
        if (salary != -1) {
            sum = sum + salary;
            count++;
        }
    }
    if (count > 0) {
        double average = sum / count;
        System.out.println(""Average salary: "" + average);
       // Process data until the sentinel is entered 

    } else {
        System.out.println(""No data"");
    }
}
       // Compute and print the average"
198,2,0,5,2,2017-04-05 20:35:32.188255,11,"class Person{
        String name;
        int age;
    }
    class Employee extends Person{
        double getSalary();
    }
    class BusinessOwner extends Person {
        double getProfit();
    }
    class Veteran extends Person{
        String veteran_id;
    }

public static void main(String[] args) {
    double sum = 0;
    int count = 0;
    double salary = 0;
    System.out.print(""Enter salaries, -1 to finish: "");
    Scanner in = new Scanner(System.in);
    while (salary != -1) {
        salary = in.nextDouble();
        if (salary != -1) {
            sum = sum + salary;
            count++;
        }
    }
    if (count > 0) {
        double average = sum / count;
        System.out.println(""Average salary: "" + average);
       // Process data until the sentinel is entered 

    } else {
        System.out.println(""No data"");
    }
}
       // Compute and print the average"
199,2,1,4,1,2017-04-05 20:35:33.939475,11,"class Person{
        String name;
        int age;
    }
    class Employee extends Person{
        double getSalary();
    }
    class BusinessOwner extends Person {
        double getProfit();
    }
    class Veteran extends Person{
        String veteran_id;
    }

public static void main(String[] args) {
    double sum = 0;
    int count = 0;
    double salary = 0;
    System.out.print(""Enter salaries, -1 to finish: "");
    Scanner in = new Scanner(System.in);
    while (salary != -1) {
        salary = in.nextDouble();
        if (salary != -1) {
            sum = sum + salary;
            count++;
        }
    }
    if (count > 0) {
        double average = sum / count;
        System.out.println(""Average salary: "" + average);
       // Process data until the sentinel is entered 

    } else {
        System.out.println(""No data"");
    }
}
       // Compute and print the average"
200,2,0,3,3,2017-04-05 20:35:36.683690,11,"class Person{
        String name;
        int age;
    }
    class Employee extends Person{
        double getSalary();
    }
    class BusinessOwner extends Person {
        double getProfit();
    }
    class Veteran extends Person{
        String veteran_id;
    }

public static void main(String[] args) {
    double sum = 0;
    int count = 0;
    double salary = 0;
    System.out.print(""Enter salaries, -1 to finish: "");
    Scanner in = new Scanner(System.in);
    while (salary != -1) {
        salary = in.nextDouble();
        if (salary != -1) {
            sum = sum + salary;
            count++;
        }
    }
    if (count > 0) {
        double average = sum / count;
        System.out.println(""Average salary: "" + average);
       // Process data until the sentinel is entered 

    } else {
        System.out.println(""No data"");
    }
}
       // Compute and print the average"
201,2,1,2,1,2017-04-05 20:35:49.979630,11,"class Person{
        String name;
        int age;
    }
    class Employee extends Person{
        double getSalary();
    }
    class BusinessOwner extends Person {
        double getProfit();
    }
    class Veteran extends Person{
        String veteran_id;
    }

public static void main(String[] args) {
    double sum = 0;
    int count = 0;
    double salary = 0;
    System.out.print(""Enter salaries, -1 to finish: "");
    Scanner in = new Scanner(System.in);
    while (salary != -1) {
        salary = in.nextDouble();
        if (salary != -1) {
            sum = sum + salary;
            count++;
        }
    }
    if (count > 0) {
        double average = sum / count;
        System.out.println(""Average salary: "" + average);
       // Process data until the sentinel is entered 

    } else {
        System.out.println(""No data"");
    }
}
       // Compute and print the average"
202,2,0,4,2,2017-04-05 20:35:55.537300,3,"double TaxReturn(double SalaryTax){
  /*Write a java method that takes a person and returns their tax as below:
1. For employees, if salary < $10,000, 2% of salary, else 5%
2. For business owners, 10% of their profit
3. 0 for veterans*/
}"
203,1,0,4,4,2017-04-05 20:36:03.452992,13,"int largDiff(int s){
int[] array;
// largest difference in array
array = new int[3];
array[0] = 1;
array[1] = 4;
array[2] = 7;

int a = array[0];
int b = array[1];
int c = array[2];

int d = b-a;
int e = c-a;
int f = c-b;
  
 if (d > f){
   return d;
 } else if( e > f){
   return e;
 }else return f;
}"
204,2,0,5,5,2017-04-05 20:36:11.603312,11,"class Person{
        String name;
        int age;
    }
    class Employee extends Person{
        double getSalary();
    }
    class BusinessOwner extends Person {
        double getProfit();
    }
    class Veteran extends Person{
        String veteran_id;
    }

public static void main(String[] args) {
    double sum = 0;
    int count = 0;
    double salary = 0;
    System.out.print(""Enter salaries, -1 to finish: "");
    Scanner in = new Scanner(System.in);
    while (salary != -1) {
        salary = in.nextDouble();
        if (salary != -1) {
            sum = sum + salary;
            count++;
        }
    }
    if (count > 0) {
        double average = sum / count;
        System.out.println(""Average salary: "" + average);
       // Process data until the sentinel is entered 

    } else {
        System.out.println(""No data"");
    }
}
       // Compute and print the average"
